AR;"Santa Cruz";"Río Gallegos";-51.623;-69.2168
AR;"Santa Cruz";"Río Gallegos";-51.6253;-69.2523
FK;"East Falkland";Stanley;-51.6977;-57.8517
FK;;Stanley;-51.6938;-57.857
AR;"Santa Cruz";"28 de Noviembre";-51.5844;-72.2136
AR;"Santa Cruz";"Río Gallegos";-51.6203;-69.2234
CL;"Region of Magallanes";"Puerto Natales";-51.7299;-72.506
AR;"Santa Cruz";"28 de Noviembre";-51.5839;-72.2138
AR;"Santa Cruz";"Yacimientos Río Turbio";-51.5364;-72.3379
AR;"Santa Cruz";"Río Turbio";-51.5359;-72.3367
AR;"Santa Cruz";"Yacimientos Río Turbio";-51.5382;-72.3368
