48.0.0.0;48.0.0.255;40.737;-74.1717
48.0.1.0;48.159.255.255;40.7369;-74.172
48.160.0.0;48.175.255.255;51.5072;-0.127586
48.176.0.0;48.183.255.255;40.737;-74.1717
48.184.0.0;48.207.255.255;51.5072;-0.127586
48.208.0.0;48.208.1.255;-33.8688;151.209
48.208.2.0;48.208.2.255;-37.8136;144.963
48.208.3.0;48.208.10.255;38.7134;-78.1591
48.208.11.0;48.208.18.255;41.8781;-87.6298
48.208.19.0;48.208.26.255;37.3387;-121.885
48.208.27.0;48.208.27.255;-22.9051;-47.0613
48.208.28.0;48.208.28.255;46.8131;-71.2075
48.208.29.0;48.208.29.255;18.5204;73.8567
48.208.30.0;48.208.30.255;48.8575;2.35138
48.208.31.0;48.208.31.255;50.1109;8.68213
48.208.32.0;48.208.32.255;35.6764;139.65
48.208.33.0;48.208.33.255;34.6937;135.502
48.208.34.0;48.208.34.255;37.5665;126.978
48.208.35.0;48.208.35.255;35.1796;129.076
48.208.36.0;48.208.36.255;20.5888;-100.39
48.208.37.0;48.208.37.255;59.9139;10.7522
48.208.38.0;48.208.38.255;52.2297;21.0122
48.208.39.0;48.208.39.255;13.0827;80.2707
48.208.40.0;48.208.40.255;40.4167;-3.70329
48.208.41.0;48.208.41.255;60.6749;17.1413
48.208.42.0;48.208.42.255;47.3769;8.54169
48.208.43.0;48.208.43.255;51.5072;-0.127586
48.208.44.0;48.208.44.255;51.4837;-3.1681
48.208.45.0;48.208.45.255;41.14;-104.82
48.208.46.0;48.208.46.255;19.076;72.8777
48.208.47.0;48.208.47.255;33.4482;-112.078
48.208.48.0;48.208.48.255;-37.8136;144.963
48.208.49.0;48.208.49.255;43.6532;-79.3832
48.208.50.0;48.208.50.255;19.076;72.8777
48.208.51.0;48.208.52.255;41.5868;-93.625
48.208.53.0;48.208.54.255;29.4252;-98.4946
48.208.55.0;48.208.62.255;41.5868;-93.625
48.208.63.0;48.208.66.255;36.6676;-78.3875
48.208.67.0;48.208.67.255;53.3498;-6.26031
48.208.68.0;48.208.71.255;29.4252;-98.4946
48.208.72.0;48.208.72.255;52.3676;4.90414
48.208.73.0;48.208.76.255;47.2343;-119.853
48.208.77.0;48.208.80.255;36.6676;-78.3875
48.208.81.0;48.208.81.255;1.35208;103.82
48.208.82.0;48.208.127.255;51.5072;-0.127586
48.208.128.0;48.208.140.255;53.3498;-6.26031
48.208.141.0;48.208.150.255;38.7134;-78.1591
48.208.151.0;48.208.160.255;36.6676;-78.3875
48.208.161.0;48.208.168.255;48.8575;2.35138
48.208.169.0;48.208.176.255;37.3387;-121.885
48.208.177.0;48.208.182.255;29.4252;-98.4946
48.208.183.0;48.208.188.255;60.6749;17.1413
48.208.189.0;48.208.193.255;35.6764;139.65
48.208.194.0;48.208.197.255;-33.8688;151.209
48.208.198.0;48.208.201.255;1.35208;103.82
48.208.202.0;48.208.204.255;-22.9051;-47.0613
48.208.205.0;48.208.207.255;34.6937;135.502
48.208.208.0;48.208.209.255;-26.2041;28.0473
48.208.210.0;48.208.210.255;51.5072;-0.127586
48.208.211.0;48.208.212.255;25.2048;55.2708
48.208.213.0;48.208.213.255;51.5072;-0.127586
48.208.214.0;48.208.214.255;-37.8136;144.963
