AU;Queensland;Cardwell;-18.2669;146.028
VU;Tafea;Ipota;-18.8583;169.286
BR;"Espírito Santo";"São Mateus";-18.7201;-39.8589
BR;Goiás;"São Simão";-18.9965;-50.5481
FJ;Central;Nasinu;-18.0705;178.513
CL;"Arica y Parinacota Region";Arica;-18.4783;-70.3126
FJ;Central;Suva;-18.1161;178.439
FJ;Central;Suva;-18.1368;178.425
FJ;Central;Nasinu;-18.072;178.513
FJ;Western;Sigatoka;-18.1431;177.507
BR;"Minas Gerais";"Santa Vitória";-18.8386;-50.1214
BR;"Mato Grosso do Sul";"Costa Rica";-18.5439;-53.1292
BR;"Minas Gerais";Uberlândia;-18.9186;-48.2772
BR;"Espírito Santo";Pinheiros;-18.4124;-40.2144
BR;"Minas Gerais";"Frei Gaspar";-18.0661;-41.4294
BR;"Minas Gerais";Uberlândia;-18.9128;-48.2755
BR;"Espírito Santo";"Conceição da Barra";-18.5933;-39.7322
BR;"Espírito Santo";"Pedro Canário";-18.0303;-40.1506
BR;Bahia;"Nova Esperança";-18.1259;-40.3595
BR;Goiás;"Três Ranchos";-18.3539;-47.7825
BR;"Minas Gerais";Laranjeiras;-18.9465;-41.4906
BR;"Mato Grosso do Sul";"Rio Verde de Mato Grosso";-18.9181;-54.8442
BR;"Minas Gerais";"Uberlândia (Vigilato Pereira)";-18.9321;-48.2709
CL;"Arica y Parinacota Region";Arica;-18.4755;-70.3006
BR;"Espírito Santo";"Águia Branca";-18.9831;-40.7403
BR;"Minas Gerais";Vazante;-18.1787;-46.8064
BR;"Espírito Santo";"Ponto Belo";-18.1223;-40.5382
BR;"Mato Grosso do Sul";Coxim;-18.5067;-54.76
BR;"Minas Gerais";Patrocínio;-18.9439;-46.9925
ZW;Harare;Chitungwiza;-18.0127;31.0756
ZW;"Mashonaland West";Chegutu;-18.1302;30.1407
MG;Analamanga;Ivato;-18.8;47.4833
MG;Analamanga;"Antananarivo (Soarano)";-18.8901;47.5224
MG;Analamanga;Antananarivo;-18.9137;47.5361
MG;Atsinanana;Toamasina;-18.1492;49.4023
NA;"Oshikoto Region";Oshivelo;-18.6197;17.1674
MG;Analamanga;Antananarivo;-18.8792;47.5079
MG;Analamanga;Antananarivo;-18.8852;47.5211
MG;Analamanga;Antananarivo;-18.8858;47.5213
ZW;Manicaland;Mutare;-18.9707;32.6709
NA;"Kunene Region";Opuwo;-18.0607;13.84
MG;Analamanga;"Antananarivo (Andraharo)";-18.8783;47.5091
MG;Analamanga;Antananarivo;-18.8783;47.5091
MG;Analamanga;Antananarivo;-18.9185;47.5211
MG;Itasy;Miarinarivo;-18.9587;46.9055
MG;Atsinanana;Toamasina;-18.1443;49.3958
MG;Analamanga;Antananarivo;-18.8874;47.4892
MG;Analamanga;"Antananarivo (Fiadanana)";-18.932;47.5245
BR;"Espírito Santo";"Vila Valério";-18.9978;-40.3892
BR;"Mato Grosso do Sul";"Chapadão do Sul";-18.7942;-52.6228
BR;"Mato Grosso do Sul";"Chapadão do Sul (Espatódia)";-18.7924;-52.6222
BR;Goiás;Corumbaíba;-18.1425;-48.5614
BR;"Minas Gerais";Araguari;-18.6472;-48.1872
BR;"Minas Gerais";"Nova Belém";-18.4928;-41.104
BR;"Minas Gerais";"São Félix de Minas";-18.5908;-41.488
BR;Goiás;Aporé;-18.9653;-51.9264
BR;"Minas Gerais";"Governador Valadares";-18.8511;-41.9494
BR;"Minas Gerais";"Governador Valadares";-18.9904;-41.9899
BR;"Espírito Santo";"São Mateus";-18.7166;-39.8559
BR;"Espírito Santo";"Nova Venécia";-18.7106;-40.4006
BR;"Espírito Santo";Jaguaré;-18.9056;-40.0761
BR;"Espírito Santo";Pinheiros;-18.4133;-40.2149
BR;"Minas Gerais";Peçanha;-18.5457;-42.5625
BR;"Minas Gerais";Peçanha;-18.5486;-42.5569
BR;"Minas Gerais";"Divinolândia de Minas";-18.802;-42.615
BR;"Minas Gerais";"Nacip Raydan";-18.4575;-42.2495
BR;Goiás;"Bom Jesus de Goiás";-18.2205;-49.7299
FJ;Central;Suva;-18.1248;178.45
BR;"Espírito Santo";Mantenópolis;-18.8625;-41.1228
BR;"Minas Gerais";"Patos de Minas";-18.5962;-46.515
BR;"Minas Gerais";"Presidente Olegário";-18.4178;-46.4181
BR;Goiás;"Cachoeira Alta";-18.761;-50.9435
BR;Goiás;Paranaiguara;-18.9158;-50.6539
