FI;Ostrobothnia;Närpes;62.4728;21.3371
SE;Västernorrland;Nolby;62.2875;17.3692
SE;Västernorrland;Lucksta;62.299;17.0496
SE;Västernorrland;Härnösand;62.6323;17.9379
SE;Västernorrland;Frånö;62.9084;17.8473
NO;Vestland;Selje;62.0444;5.34739
NO;Møre og Romsdal;Valldal;62.2978;7.26374
NO;Trøndelag;Røros;62.5747;11.3842
NO;Møre og Romsdal;Aukra;62.7833;6.9
NO;Møre og Romsdal;Larsnes;62.2028;5.57729
NO;Møre og Romsdal;Fiskå;62.1006;5.55788
NO;Møre og Romsdal;Sunndalsøra;62.6752;8.56327
NO;Møre og Romsdal;Molde;62.7375;7.15912
SE;Västernorrland;Bergeforsen;62.5307;17.3812
RU;Sakha;Yakutsk;62.0355;129.675
NO;Møre og Romsdal;Eide;62.9174;7.44669
RU;Khanty-Mansia;Kogalym;62.2654;74.4791
RU;Arkhangelskaya;Savinskiy;62.9317;40.1407
RU;Sakha;Mirny;62.5353;113.961
NO;Møre og Romsdal;Molde;62.7464;7.22005
FI;Southern Ostrobothnia;Seinäjoki;62.773;22.8242
FI;North Savo;Kuopio;62.8966;27.6786
FI;Central Finland;Jyväskylä;62.2435;25.7536
FI;Central Finland;Jyvaskyla;62.2436;25.7541
FI;North Savo;Kuopio;62.8927;27.6458
FI;North Savo;Kuopio;62.8939;27.6487
SE;Västernorrland;Kramfors;62.9316;17.7765
SE;Västernorrland;Högsjö;62.5218;17.0913
SE;Västernorrland;Sundsvall;62.3913;17.3063
SE;Västernorrland;Svartvik;62.5864;17.9085
SE;Västernorrland;Vi;62.4333;17.4167
SE;Västernorrland;Klingsta;62.3269;17.2176
SE;Västernorrland;Sundsvall (Skönsberg);62.405;17.3387
SE;Västernorrland;Stockvik;62.3367;17.3658
SE;Västernorrland;Sundsvall;62.3908;17.3069
RU;Sakha;Yakutsk;62.0339;129.733
FI;Ostrobothnia;Korsnäs;62.7833;21.2
FI;North Karelia;Joensuu;62.6012;29.7632
FI;North Karelia;Outokumpu;62.7268;29.0159
FI;North Savo;Varkaus;62.3153;27.873
FI;South Savo;Savonranta;62.1833;29.2
FI;North Karelia;Eno;62.8051;30.1542
FI;Tampere;Kihniö;62.2;23.1833
FI;North Karelia;Kontiolahti;62.7602;29.8471
FI;North Karelia;Ilomantsi;62.6716;30.9328
FI;South Savo;Jäppilä;62.379;27.4337
FI;Ostrobothnia;Maalahti;62.9422;21.5731
FI;North Karelia;Polvijärvi;62.85;29.3667
NO;Møre og Romsdal;Ålesund;62.4705;6.34806
NO;Møre og Romsdal;Ålesund;62.4704;6.34805
NO;Møre og Romsdal;Hareid;62.3699;6.02882
RU;Khanty-Mansia;Priob'ye;62.5206;65.5964
FI;Tampere;Parkano;62.0167;23.0167
FO;Streymoy;Tórshavn;62.0107;-6.77409
FI;North Savo;Kuopio;62.8924;27.677
FI;South Ostrobothnia;Jalasjärvi;62.4902;22.759
FI;South Ostrobothnia;Kurikka;62.6167;22.4167
FI;South Ostrobothnia;Ylistaro;62.9396;22.5131
SE;Jämtland;Sveg;62.0341;14.3658
NO;Møre og Romsdal;Ålesund;62.4722;6.14948
FI;Central Finland;Toivakka;62.1;26.0833
FI;North Savo;Karttula;62.8963;26.9704
FI;Central Finland;Jyväskylä;62.2415;25.7209
FI;Ostrobothnia;Kaskinen;62.3844;21.2233
FI;Central Finland;Laukaa;62.4141;25.9519
FI;Central Finland;Muurame;62.1333;25.6667
SE;Västernorrland;Vattjom;62.3667;17
RU;Sakha;Yakutsk;62.0397;129.742
NO;Innlandet;Dombås;62.0755;9.12785
FI;South Ostrobothnia;Isojoki;62.1132;21.9588
FI;Satakunta;Karvia;62.1333;22.5667
FI;North Savo;Kuopio;62.8943;27.6592
FI;Central Finland;Kannonkoski;62.9667;25.25
FI;Central Finland;Jyväskylä;62.24;25.7555
FI;Central Finland;Jyväskylä;62.2443;25.7502
FI;North Savo;Kuopio;62.9001;27.6815
FI;South Ostrobothnia;Teuva;62.4819;21.7416
FI;South Ostrobothnia;Kauhajoki;62.4333;22.1833
NO;Trøndelag;Berkåk;62.825;10.0118
NO;Møre og Romsdal;Syvik;62.55;6.3
NO;Møre og Romsdal;Åndalsnes;62.5675;7.68709
NO;Møre og Romsdal;Ålesund;62.4721;6.34369
NO;Møre og Romsdal;Ålesund;62.4744;6.15768
FI;South Ostrobothnia;Lapua;62.9693;23.0088
FI;South Ostrobothnia;Ilmajoki;62.7333;22.5667
RU;Sakha;Markha;62.1145;129.744
NO;Møre og Romsdal;Ålesund;62.4723;6.15492
RU;Sakha;Magan;62.1075;129.532
RU;Sakha;Berdigestyakh;62.098;126.702
SE;Västernorrland;Timrå;62.4865;17.3261
NO;Møre og Romsdal;Ikornnes;62.3863;6.55094
FI;Central Finland;Säynätsalo;62.1403;25.7695
FI;Central Finland;Hankasalmi;62.3833;26.4333
FI;South Ostrobothnia;Karijoki;62.3085;21.7086
NO;Møre og Romsdal;Skodje;62.5047;6.69322
NO;Møre og Romsdal;Fosnavåg;62.3419;5.63396
NO;Trøndelag;Oppdal;62.5943;9.6912
FO;Streymoy;Tórshavn;62.0216;-6.76348
FO;Eysturoy;Eiði;62.2993;-7.09245
FO;Norðoyar;Klaksvík;62.2266;-6.58901
FO;Streymoy;Tórshavn;62.0216;-6.77151
NO;Møre og Romsdal;Brattvåg;62.5999;6.44426
RU;Khanty-Mansia;Nyagan;62.1293;65.3745
CA;Northwest Territories;Yellowknife;62.4541;-114.372
NO;Innlandet;Tynset;62.2759;10.7824
NO;Innlandet;Os i Østerdalen;62.4965;11.2233
NO;Møre og Romsdal;Molde;62.7372;7.16073
SE;Gävleborg;Gnarp;62.0487;17.2586
RU;Karelia;Medvezh'yegorsk;62.9136;34.4683
RU;Sakha;Yakutsk;62.0331;129.738
FI;North Karelia;Joensuu;62.6011;29.7635
NO;Møre og Romsdal;Stranda;62.3091;6.94241
FI;North Savo;Kuopio;62.9735;27.7026
FI;Central Finland;Jyväskylä;62.2447;25.7472
FI;North Karelia;Kitee;62.1002;30.1293
NO;Møre og Romsdal;Tingvoll;62.9132;8.20526
NO;Møre og Romsdal;Ikornnes;62.3853;6.55473
NO;Møre og Romsdal;Ålesund;62.4732;6.15087
NO;Møre og Romsdal;Fosnavåg;62.3266;5.63951
NO;Innlandet;Tynset;62.2791;10.7801
NO;Møre og Romsdal;Langevåg;62.4408;6.19137
FI;Tampere;Virrat;62.2476;23.78
