9.0.0.0;9.7.255.255;35.9051;-78.8565
9.8.0.0;9.9.8.255;35.905;-78.8566
9.9.9.0;9.9.9.255;37.8806;-122.268
9.9.10.0;9.128.255.255;45.5019;-73.5674
9.129.0.0;9.133.255.255;51.5072;-0.127586
9.134.0.0;9.134.7.255;32.5252;-93.7502
9.134.8.0;9.134.127.255;35.2196;-80.853
9.134.128.0;9.134.135.255;39.0438;-77.4874
9.134.136.0;9.134.159.255;35.2196;-80.853
9.134.160.0;9.134.171.255;43.8138;-91.2519
9.134.172.0;9.134.255.255;35.2196;-80.853
9.135.0.0;9.136.255.255;51.5072;-0.127586
9.137.0.0;9.137.255.255;45.5019;-73.5674
9.138.0.0;9.138.63.255;39.0438;-77.4874
9.138.64.0;9.138.191.255;35.2196;-80.853
9.138.192.0;9.138.211.255;39.0438;-77.4874
9.138.212.0;9.139.255.255;35.2196;-80.853
9.140.0.0;9.140.255.255;51.5072;-0.127586
9.141.0.0;9.141.191.255;50.1109;8.68213
9.141.192.0;9.141.255.255;48.8566;2.35222
9.142.0.0;9.142.255.255;45.5019;-73.5674
9.143.0.0;9.143.255.255;51.5072;-0.127586
9.144.0.0;9.144.170.255;35.2196;-80.853
9.144.171.0;9.144.171.255;39.0438;-77.4874
9.144.172.0;9.144.255.255;35.2196;-80.853
9.145.0.0;9.146.255.255;51.5072;-0.127586
9.147.0.0;9.148.255.255;45.5019;-73.5674
9.149.0.0;9.149.255.255;51.5072;-0.127586
9.150.0.0;9.156.255.255;45.5019;-73.5674
9.157.0.0;9.159.255.255;51.5072;-0.127586
9.160.0.0;9.160.191.255;50.8477;4.3572
9.160.192.0;9.160.255.255;52.3676;4.90414
9.161.0.0;9.162.255.255;45.5019;-73.5674
9.163.0.0;9.163.255.255;52.3676;4.90414
9.164.0.0;9.164.255.255;51.5072;-0.127586
9.165.0.0;9.165.255.255;45.5019;-73.5674
9.166.0.0;9.167.255.255;51.5072;-0.127586
9.168.0.0;9.168.255.255;45.5019;-73.5674
9.169.0.0;9.169.3.159;38.7134;-78.1591
9.169.3.160;9.169.3.191;39.0438;-77.4874
9.169.3.192;9.169.127.255;38.7134;-78.1591
9.169.128.0;9.169.255.255;36.6676;-78.3875
9.170.0.0;9.172.255.255;45.5019;-73.5674
9.173.0.0;9.173.255.255;51.5072;-0.127586
9.174.0.0;9.176.255.255;45.5019;-73.5674
9.177.0.0;9.177.255.255;51.5072;-0.127586
9.178.0.0;9.184.255.255;45.5019;-73.5674
9.185.0.0;9.185.255.255;51.5072;-0.127586
9.186.0.0;9.189.255.255;45.5019;-73.5674
9.190.0.0;9.190.255.255;51.5072;-0.127586
9.191.0.0;9.191.255.255;45.5019;-73.5674
9.192.0.0;9.193.255.255;51.5072;-0.127586
9.194.0.0;9.197.255.255;45.5019;-73.5674
9.198.0.0;9.198.255.255;51.5072;-0.127586
9.199.0.0;9.204.255.255;45.5019;-73.5674
9.205.0.0;9.205.255.255;52.3676;4.90414
9.206.0.0;9.219.255.255;45.5019;-73.5674
9.220.0.0;9.220.255.255;51.5072;-0.127586
9.221.0.0;9.222.255.255;45.5019;-73.5674
9.223.0.0;9.223.160.255;60.6749;17.1413
9.223.161.0;9.223.164.159;59.3327;18.0656
9.223.164.160;9.223.255.255;60.6749;17.1413
9.224.0.0;9.227.255.255;45.5019;-73.5674
9.228.0.0;9.229.255.255;51.5072;-0.127586
9.230.0.0;9.230.255.255;45.5019;-73.5674
9.231.0.0;9.231.255.255;51.5072;-0.127586
9.232.0.0;9.233.255.255;45.5019;-73.5674
9.234.0.0;9.234.127.255;41.5868;-93.625
9.234.128.0;9.234.255.255;36.6676;-78.3875
9.235.0.0;9.235.127.255;45.4642;9.18998
9.235.128.0;9.235.131.255;51.5072;-0.127586
9.235.132.0;9.235.132.255;51.5195;-0.181338
9.235.133.0;9.235.145.255;51.5072;-0.127586
9.235.146.0;9.235.146.255;51.5195;-0.181338
9.235.147.0;9.235.161.255;51.5072;-0.127586
9.235.162.0;9.235.162.255;51.5195;-0.181338
9.235.163.0;9.235.171.255;51.5072;-0.127586
9.235.172.0;9.235.172.255;51.5195;-0.181338
9.235.173.0;9.235.176.255;51.5072;-0.127586
9.235.177.0;9.235.178.255;51.5195;-0.181338
9.235.179.0;9.235.214.255;51.5072;-0.127586
9.235.215.0;9.235.215.255;51.5195;-0.181338
9.235.216.0;9.235.228.255;51.5072;-0.127586
9.235.229.0;9.235.229.255;51.5195;-0.181338
9.235.230.0;9.235.243.255;51.5072;-0.127586
9.235.244.0;9.235.244.255;51.5195;-0.181338
9.235.245.0;9.235.255.255;51.5072;-0.127586
9.236.0.0;9.247.255.255;45.5019;-73.5674
9.248.0.0;9.248.255.255;51.5072;-0.127586
9.249.0.0;9.255.255.255;45.5019;-73.5674
