ID;East Java;Mojosari;-7.5194;112.56
ID;East Java;Mojokerto;-7.4664;112.434
ID;East Java;Dlemmer;-7.15347;112.861
ID;East Java;Gresik;-7.15389;112.656
ID;East Java;Bendungan;-7.1177;112.498
ID;West Java;Margamukti;-7.0092;108.285
ID;West Java;Tawangsari;-7.3227;108.221
ID;West Java;Tegallame;-7.0381;107.938
ID;East Java;Bojonegoro;-7.1502;111.882
ID;East Java;Tambakrejo;-7.24723;112.756
ID;West Java;Neglasari;-7.49;108.611
ID;West Java;Ciawitali;-7.3837;108.062
ID;East Java;Lenteng;-7.02804;113.784
ID;East Java;Babat;-7.11282;112.164
ID;East Java;Made;-7.1174;112.392
ID;East Java;Buduran;-7.4281;112.723
ID;East Java;Krucil Timur;-7.94315;113.475
ID;East Java;Besuki;-7.73379;113.698
ID;East Java;Banyumas;-7.7972;114.004
ID;West Java;Leles;-7.1099;107.899
ID;West Java;Margabakti;-7.0137;107.877
ID;West Java;Gawul;-7.66;108.079
ID;West Java;Babakancikaso;-7.0186;108.004
ID;West Java;Pasirangin;-7.3158;108.172
ID;West Java;Karangnunggal;-7.6278;108.134
ID;West Java;Yudanagara;-7.3307;108.216
ID;West Java;Astana Hilir;-7.21021;107.889
ID;East Java;Sedatiagung;-7.38194;112.758
ID;East Java;Torsobih;-7.0004;113.055
ID;East Java;Kedungasem;-7.3216;112.779
ID;East Java;Ploso;-7.25222;112.763
ID;East Java;Kertosono;-7.58333;112.1
ID;West Java;Cileungsir;-7.2051;108.49
ID;West Java;Wanaraja;-7.1749;107.981
ID;West Java;Manis Mekarwangi;-7.0108;108.602
ID;West Java;Cibeber;-7.7086;108.196
ID;West Java;Sindangkerta;-7.7652;108.071
ID;East Java;Pare;-7.7679;112.198
ID;East Java;Nganjuk;-7.6051;111.904
ID;East Java;Gampengrejo;-7.764;112.035
ID;West Java;Asem;-7.1567;108.143
ID;West Java;Parapat;-7.6892;108.657
ID;West Java;Pamarican;-7.4576;108.524
ID;West Java;Babakan Baru;-7.2515;107.927
ID;West Java;Pajaten;-7.6549;108.611
ID;West Java;Santosa;-7.2537;107.639
ID;East Java;Labansari;-7.25969;112.791
ID;East Java;Gununganyar;-7.3409;112.782
ID;East Java;Diwek;-7.57897;112.231
ID;East Java;Kamal;-7.16778;112.719
ID;East Java;Sampang;-7.1872;113.239
ID;East Java;Murtajih;-7.16689;113.509
ID;East Java;Pagerwojo;-7.1196;112.402
ID;West Java;Sukagalih;-7.1462;107.978
ID;West Java;Sukasenang;-7.17;108.167
ID;West Java;Citamiang;-7.6363;108.238
ID;East Java;Talok;-7.1255;111.747
ID;East Java;Krajan Dermawuharjo;-7.0062;112.03
ID;East Java;Temorlorong;-7.13386;113.52
ID;East Java;Klebu;-7.1371;114.305
ID;East Java;Tumenggungan;-7.1147;112.414
ID;West Java;Citegal;-7.0225;106.6
ID;West Java;Soreang;-7.03306;107.518
ID;East Java;Utara;-7.16834;113.499
ID;East Java;Bangkalan;-7.0455;112.735
ID;East Java;Ngoro;-7.68386;112.258
ID;West Java;Sindang;-7.0006;108.582
ID;West Java;Banjaran;-7.04528;107.588
ID;Yogyakarta;Srandakan;-7.93861;110.251
ID;Yogyakarta;Yogyakarta;-7.80137;110.365
ID;East Java;Gununganyartambak Tengah;-7.33753;112.802
ID;East Java;Buncitan;-7.3961;112.781
ID;East Java;Semampir Barat;-7.37222;112.773
ID;West Java;Pananjung;-7.6826;108.65
ID;West Java;Jati;-7.1158;107.912
ID;West Java;Cihaseum;-7.2781;108.114
ID;West Java;Rajamandala;-7.1838;108.182
ID;West Java;Cidamar;-7.439;108.301
ID;West Java;Cisaro;-7.3531;108.122
ID;East Java;Banjarkemuning;-7.3867;112.809
ID;East Java;Talbantal;-7.0081;113.879
ID;West Java;Sukamenak;-7.1692;108.181
ID;West Java;Rancabungur;-7.7359;108.279
ID;West Java;Singaparna;-7.3515;108.111
ID;West Java;Cikabuyutan Barat;-7.3785;108.542
ID;West Java;Pakuwon;-7.2155;107.904
ID;West Java;Margacina;-7.1108;108.645
ID;West Java;Kedawung;-7.2304;108.377
ID;West Java;Mawar;-7.2124;107.905
ID;West Java;Calingcing Satu;-7.2136;108.155
ID;West Java;Pakusari;-7.0041;108.711
ID;East Java;Damarsi;-7.4177;112.76
ID;East Java;Pakong Laok;-7.0417;113.557
ID;East Java;Diwek;-7.57409;112.286
ID;East Java;Mojoagung;-7.56667;112.35
ID;East Java;Pacarkeling;-7.258;112.758
ID;West Java;Simpenan;-7.3497;106.514
ID;West Java;Sukaasih;-7.0115;107.115
ID;East Java;Timurleke;-7.037;113.676
ID;East Java;Madiun;-7.6298;111.524
ID;West Java;Kamurang;-7.6761;108.676
ID;Central Java;Cilacap;-7.72639;109.009
ID;Central Java;Purbalingga;-7.38806;109.364
ID;West Java;Cigembong;-7.1432;106.51
ID;East Java;Tanjung Kidul;-7.7213;113.498
