143.0.0.0;143.0.3.255;-20.9914;-47.6586
143.0.4.0;143.0.4.255;-23.7869;-54.2836
143.0.5.0;143.0.5.255;-23.4744;-54.185
143.0.6.0;143.0.7.228;-23.7869;-54.2836
143.0.7.229;143.0.7.255;-23.4744;-54.185
143.0.8.0;143.0.8.255;-22.8833;-43.1036
143.0.9.0;143.0.9.255;-22.9161;-42.8192
143.0.10.0;143.0.10.127;-22.8269;-43.0539
143.0.10.128;143.0.11.255;-22.9194;-42.8186
143.0.12.0;143.0.12.255;-22.9889;-43.2493
143.0.13.0;143.0.13.255;-22.9984;-43.3655
143.0.14.0;143.0.14.255;-22.9661;-43.2199
143.0.15.0;143.0.15.255;-23.5475;-46.6361
143.0.16.0;143.0.16.255;-23.6678;-46.4614
143.0.17.0;143.0.17.255;-23.6939;-46.565
143.0.18.0;143.0.19.67;-23.6678;-46.4614
143.0.19.68;143.0.19.255;-23.8322;-46.8114
143.0.20.0;143.0.20.255;-23.4628;-46.5333
143.0.21.0;143.0.21.255;-23.4861;-46.3483
143.0.22.0;143.0.22.255;-29.696;-53.7979
143.0.23.0;143.0.23.255;-23.4628;-46.5333
143.0.24.0;143.0.24.255;-22.6508;-42.3917
143.0.25.0;143.0.25.251;-22.5269;-41.945
143.0.25.252;143.0.26.255;-22.6508;-42.3917
143.0.27.0;143.0.27.255;-22.7086;-42.6097
143.0.28.0;143.0.29.71;-23.5917;-48.0531
143.0.29.72;143.0.29.255;-23.8131;-47.7164
143.0.30.0;143.0.30.255;-23.5819;-48.0318
143.0.31.0;143.0.31.255;-23.5917;-48.0531
143.0.32.0;143.0.33.191;12.1373;-68.2604
143.0.33.192;143.0.33.255;12.15;-68.2667
143.0.34.0;143.0.34.127;12.1373;-68.2604
143.0.34.128;143.0.35.255;12.15;-68.2667
143.0.36.0;143.0.36.255;-22.1911;-55.9475
143.0.37.0;143.0.37.223;-22.5361;-55.7256
143.0.37.224;143.0.39.83;-22.1911;-55.9475
143.0.39.84;143.0.39.255;-22.5464;-55.1497
143.0.40.0;143.0.41.7;-13.0713;-55.9148
143.0.41.8;143.0.41.119;-12.7371;-56.5136
143.0.41.120;143.0.43.65;-13.0713;-55.9148
143.0.43.66;143.0.43.255;-12.7371;-56.5136
143.0.44.0;143.0.44.255;-23.6678;-46.4614
143.0.45.0;143.0.45.255;-22.7611;-47.1542
143.0.46.0;143.0.47.23;-22.8583;-47.22
143.0.47.24;143.0.47.255;-22.7611;-47.1542
